user,item,rating
175,81669,5
175,90719,5
4504,128090,5
4504,124457,5
4504,122482,5
4504,33128,5
4504,53471,5
541,2090,5
541,28211,5
541,65369,5
4508,1587,5
4564,122473,5
4564,49856,1
4564,33128,4
4564,43515,5
4564,73642,4
4564,123995,5
8230,7583,5
733,120005,5
8485,8156,5
8485,14657,5
8485,48036,5
8485,80392,5
8485,29384,5
8485,58903,5
8485,27429,5
8485,13420,5
8485,19230,5
8485,10737,4
8485,50643,5
8485,37143,5
8485,69148,5
1597,9213,5
1597,22033,4
1597,34988,4
5482,116772,5
5482,82876,5
7237,25707,5
7237,37140,5
4747,90422,5
4747,107746,4
4747,120005,5
4747,81627,4
4747,113186,4
3835,82277,5
3835,60112,5
3835,89109,5
3835,37140,5
3835,82476,5
2931,65369,5
5536,69925,5
5536,85213,4
5536,33408,4
4626,40758,5
4626,50363,5
1473,120005,5
1473,34308,5
1067,82277,4
1067,90719,4
1555,124139,5
1777,92382,4
5164,123286,4
5164,95067,5
5164,81122,5
6051,76524,5
5423,15992,5
5423,68221,5
5423,119574,5
5423,9521,5
5423,96710,5
5423,96841,5
5423,73642,5
2027,7854,5
2679,53118,5
2679,14657,4
3226,120202,5
3226,40849,4
3226,7854,5
1243,107746,5
1243,7499,5
1779,48821,5
1779,33165,4
1779,48456,5
1779,24274,5
1779,114263,5
1779,95187,5
1779,13629,5
1779,100572,5
1779,84313,5
1779,32423,5
1779,2100,2
1779,39495,5
4169,90422,5
2891,65023,5
2891,70567,5
2891,33408,4
2891,129060,4
2891,59143,5
576,42309,5
1464,133332,5
1464,79600,5
4164,74356,5
4164,91213,4
8139,46544,5
8139,34527,5
4962,32692,4
4962,65023,5
4962,129060,4
9020,113724,5
9020,101109,5
466,12555,4
466,56289,5
466,118704,5
466,106114,5
678,15120,4
678,41569,5
678,79919,5
678,44259,5
678,10890,5
678,62701,5
678,91700,4
678,36454,3
678,107733,5
5392,76524,5
5392,128090,5
5392,125568,4
5392,62701,5
4964,6807,5
4964,32692,4
4964,79496,3
4964,88317,5
4964,70567,5
3839,60112,5
3839,12704,4
3839,89109,4
3864,48670,5
3864,80462,5
6769,56353,4
6769,178,3
6769,13979,5
6769,46544,5
6769,132853,5
6769,59546,5
6769,79830,5
6769,23824,5
3291,38135,5
4557,32423,5
4557,72597,5
4557,120202,5
