65630,"[3071851, 59235430, 568145, 11255089, 532318, 20918798, 650004, 53249480, 481224, 442778]"
19277,"[49659437, 2291097, 23619297, 54809933, 9948023, 576121, 579936, 10392851, 57979766, 480687]"
44365,"[568145, 474168, 7959221, 47278760, 11255089, 29254205, 10697068, 470897, 1938911, 14645347]"
9800,"[59235430, 568145, 13624117, 474168, 7959221, 47278760, 2612575, 20918798, 650004, 442778]"
89757,"[568145, 474168, 20918798, 650004, 58129503, 442778, 500769, 475828, 10641027, 47504722]"
66066,"[3071851, 568145, 474168, 343300, 7959221, 10697068, 2612575, 32080645, 20918798, 650004]"
14657,"[49659437, 777253, 480687, 32802795, 463044, 576121, 58067810, 2224869, 2291097, 4483791]"
65736,"[568145, 474168, 20918798, 650004, 442778, 48583258, 475828, 50350065, 44640289, 859057]"
90422,"[54740551, 14692672, 777253, 1028804, 58067810, 970220, 54809933, 543197, 58695892, 48613094]"
69925,"[3071851, 568145, 13624117, 474168, 343300, 7959221, 47278760, 29254205, 10697068, 439874]"
120202,"[3071851, 59235430, 568145, 51036508, 474168, 343300, 7959221, 56511851, 532318, 29254205]"
107746,"[777253, 2291097, 395735, 54809933, 49659437, 58067810, 480687, 463044, 44447043, 9948023]"
31988,"[777253, 395735, 54809933, 67370867, 508372, 9948023, 493933, 859055, 31509726, 2224869]"
50010,"[49659437, 806660, 568144, 13958442, 2291097, 13300151, 689034, 437336, 475653, 54809933]"
104154,"[3071851, 568145, 442778, 48583258, 475828, 859057, 3241599, 20699899, 472441, 511298]"
82277,"[49659437, 54809933, 970220, 576121, 579936, 4255933, 14684952, 6543923, 4483791, 20104310]"
60112,"[568145, 48583258, 500769, 44640289, 859057, 16085854, 393554, 474165, 44640186, 423480]"
37140,"[3071851, 568145, 474168, 47278760, 29254205, 10697068, 470897, 1938911, 20918798, 650004]"
89109,"[10694712, 777253, 395735, 54809933, 2224869, 58067810, 480687, 31509726, 49960438, 2291097]"
7499,"[568145, 48583258, 50350065, 44640289, 434868, 393554, 474165, 2612565, 423480, 49659437]"
118185,"[49659437, 27962195, 2291097, 54809933, 576121, 777253, 543197, 32802795, 859057, 17371076]"
122482,"[568145, 474168, 58129503, 442778, 48583258, 475828, 47504722, 44640289, 859057, 511298]"
65447,"[3071851, 568145, 13624117, 474168, 343300, 7959221, 339327, 47278760, 352800, 10697068]"
125328,"[3071851, 59235430, 568145, 51036508, 13624117, 51598547, 474168, 343300, 339327, 55187168]"
63996,"[49659437, 2291097, 777253, 17371076, 31509726, 463044, 54809933, 2224869, 395735, 970220]"
78309,"[777253, 49659437, 463044, 17371076, 54809933, 20647237, 10694712, 9948023, 44447043, 48659057]"
43515,"[49659437, 57979766, 4483791, 777253, 52329760, 20647237, 583680, 54809933, 1028804, 49960438]"
60612,"[3071851, 59235430, 568145, 51036508, 474168, 343300, 7959221, 339327, 47278760, 55187168]"
100113,"[568145, 474168, 343300, 532305, 411489, 500769, 475828, 53293051, 2140049, 423480]"
132520,"[3071851, 59235430, 568145, 474168, 343300, 339327, 55187168, 11255089, 532318, 352800]"
27560,"[777253, 970220, 49659437, 57979766, 2291097, 446881, 4483791, 859055, 480687, 463044]"
17788,"[777253, 49659437, 54809933, 970220, 17371076, 395735, 463044, 576121, 32802795, 2291097]"
65023,"[3071851, 59235430, 568145, 51598547, 474168, 343300, 339327, 47278760, 55187168, 686668]"
53108,"[777253, 2291097, 4483791, 20647237, 49659437, 32802795, 579823, 480687, 5947751, 970220]"
114578,"[3071851, 59235430, 568145, 51036508, 13624117, 51598547, 474168, 343300, 7959221, 47278760]"
38135,"[3071851, 568145, 474168, 47278760, 2612575, 20918798, 650004, 53249480, 481224, 58129503]"
88589,"[3071851, 59235430, 568145, 13624117, 474168, 343300, 7959221, 339327, 47278760, 55187168]"
30296,"[568145, 474168, 343300, 55187168, 2612575, 442778, 3031999, 48583258, 500769, 475828]"
76524,"[3071851, 59235430, 568145, 474168, 339327, 47278760, 532318, 2612575, 32080645, 20918798]"
85603,"[777253, 395735, 55589742, 54809933, 49659437, 31509726, 463044, 2291097, 2245453, 4483791]"
52645,"[568145, 474168, 29254205, 14645347, 2612575, 20918798, 650004, 53249480, 481224, 7125303]"
62701,"[3071851, 59235430, 568145, 13624117, 51598547, 474168, 343300, 339327, 352800, 439874]"
17767,"[777253, 543197, 4483791, 395735, 49659437, 583680, 10694712, 49960438, 46931917, 20647237]"
30727,"[3071851, 59235430, 568145, 51036508, 13624117, 51598547, 474168, 343300, 7959221, 339327]"
79919,"[423480, 49659437, 10325548, 13958442, 2291097, 481515, 970220, 980920, 576121, 57979766]"
122438,"[3071851, 568145, 474168, 343300, 339327, 2612575, 532305, 650004, 49377595, 58395901]"
58511,"[568145, 442778, 48583258, 475828, 47504722, 50350065, 44640289, 859057, 393554, 55074313]"
72069,"[568145, 48583258, 44640289, 859057, 393554, 7822079, 55074313, 491819, 1535017, 423480]"
27033,"[777253, 49659437, 2291097, 8848897, 480687, 579823, 463044, 4483791, 576121, 2224869]"
12555,"[49659437, 777253, 463044, 395735, 20647237, 980920, 17371076, 52329760, 4483791, 10866305]"
25707,"[3071851, 568145, 48583258, 475828, 44640289, 859057, 20699899, 511298, 393554, 2612565]"
51538,"[568145, 474168, 339327, 29254205, 1938911, 2612575, 20918798, 650004, 58129503, 17937805]"
12834,"[49659437, 2291097, 859055, 57979766, 2224869, 4483791, 777253, 395735, 31509726, 54809933]"
18906,"[777253, 2107167, 56218385, 49659437, 5947751, 54809933, 32802795, 575916, 480687, 4483791]"
6106,"[3071851, 59235430, 568145, 474168, 7959221, 29254205, 10697068, 2612575, 20918798, 532305]"
10890,"[568145, 474168, 53249480, 7125303, 442778, 7125305, 48583258, 500769, 475828, 50350065]"
10498,"[568145, 48583258, 500769, 475828, 44640289, 393554, 474165, 491819, 2612565, 1535017]"
49856,"[583680, 777253, 543197, 48613094, 58067810, 56218385, 480687, 859055, 17371076, 8848897]"
78207,"[568145, 474168, 7959221, 47278760, 10697068, 1938911, 2612575, 20918798, 650004, 481224]"
104049,"[3071851, 568145, 13624117, 474168, 343300, 7959221, 47278760, 29254205, 10697068, 470897]"
9481,"[59235430, 568145, 474168, 339327, 11255089, 470897, 20918798, 650004, 2794087, 7125303]"
40849,"[49659437, 27962195, 19662182, 2006679, 2291097, 55507724, 58973110, 54809933, 58067810, 481515]"
